code,name,address,status
SGY,SAGAY,"LJ BLDG CORNER CUEVAS KATALBAS ST. SAGAY CITY, NEGROS OCCIDENTAL",Active
SCL,"SAN CARLOS","UY COMMERCIAL BLDG.  V GUSTILO ST. BARANGAY 3, 6127 SAN CARLOS CITY, NEGROS OCCIDENTAL",Active
SNI,"SAN ILDEFONSO","A&T BUILDING UNIT 12 2ND FLR, SAPANG PUTOL SAN ILDEFONSO BULACAN",Active
SJO,"SAN JOSE","STALL NO 2 BONIFACIO ST BRGY RAFAEL RUEDA SR SAN JOSE CITY NUEVA ECIJA",Active
SJD,"SAN JOSE DEL MONTE","7RS BUILDING B6 L51 NAT'L ROAD., FARMVIEW SUBD. TUNGKO MANNGA CITY OF SAN JOSE DEL MONTE BULACAN",Active
SJN,"SAN JUAN","UNIT 201 N. IBANEZ BLDG., GEN. LUNA ST., BRGY. POBLACION, SAN JUAN BATANGAS",Active
SMG,"SAN MIGUEL","REIGN BLDG. 2F UNIT E, TECSON ST. BRGY SAN JOSE, SAN MIGUEL BULACAN",Active
SPO,"SAN PABLO","2ND FLOOR GOLDILOCKS BUILDING, M. PAULINO ST., SAN PABLO CITY, LAGUNA",Active
SRS,"SANTA ROSA","2F, AALA BLDG, GARNET RD, BALIBAGO, SANTA ROSA CITY, LAGUNA",Active
STG,SANTIAGO,"2ND FLOOR ALLIES BUILDING CENTRO EAST SANTIAGO CITY ISABELA",Active
SBY,SIBUGAY,"BAYAWA BUILDING, PUROK PETROTEX, POBLACION IPIL ZAMBOANGA SIBUGAY",Active
SLG,SILANG,"2ND FLR. LNV COMMERCIAL SPACE RENTALS J. RIZAL ST. BRGY. 2 SILANG, CAVITE",Active
SIS,SISON,"JVG STALLS, BRGY PALDIT, SISON, PANGASINAN",Active
SGD,SOGOD,"BAGARES ST., ZONE IV, SOGOD SO. LEYTE",Active
SLN,SOLANO,"STALL 7, SANTIMER URMAZA BLDG., CALLE ROSA POBLACION SOUTH, SOLANO, NUEVA VISCAYA",Active
SOR,SORSOGON,"GROUND FLOOR MAOGMA BUILDING BARANGGAY POLVORISTA SORSOGON CITY",Active
STM,"STA MARIA","ELMACORE BLDG UNIT 6 JP. RIZAL ST BRGY. POBLACION, STA. MARIA BUL",Active
SRG,SURIGAO,"HONORIDEZ BLDG. CAPITOL ROAD, BRGY. WASHINGTON, SURIGAO CITY, SURIGAO DEL NORTE",Active
TBO,TABACO,"JACKLIG 2 BLDG. DEMETRIO ST. PUROK 3 QUINALE CABASAN, TABACO CITY ALBAY 4511",Active
TAC,TACLOBAN,"NEW OFFICE: ROVIC BLDG BRGY 14 ZAMORA STREET TACLOBAN CITY NEAR ASIA STAR HOTEL",Active
TBL,TAGBILARAN,"2ND FLOOR SUM BLDG., SAN JOSE ST., TAGBILARAN CITY",Active
TGM,TAGUM,"CBC BUILDING PIONEER AVENUE, MAGUGPO SOUTH, TAGUM CITY DAVAO DEL NORTE",Active
TAN,TANAUAN,"UNIT 201 RAFAEL ALMEDA BLDG. POBLACION 7 BURGOS ST., TANAUAN CITY, BATANGAS",Active
TDG,TANDAG,"DOOR-2 PAGE BLDG, DONASCO STREET BAGONG LUNGSOD TANDAG CITY SURIGAO DEL-SUR",Active
TNZ,TANZA,"DON ROMAN SUBD. DAANG AMAYA 1, TANZA, CAVITE",Active
TLC,TARLAC,"UNIT 207 2ND FLOOR BENRY SQUARE, F. TAÑEDO ST., TARLAC CITY",Active
TYG,TAYUG,"PLARIDEL ST., POBLACION D, TAYUG, PANGASINAN",Active
TLO,TOLEDO,"2ND FLOOR, TE BLDG. 3, DIOSDADO MACAPAGAL HIGHWAY, BRGY. SANGI, TOLEDO CITY",Active
TOR,TORIL,"CONSPLY BUILDING, DOOR 9 2ND FLR, SAAVEDRA ST. TORIL DAVAO CITY",Active
TBG,TUBIGON,"206 MAXIMO LASCO ST. CENTRO, TUBIGON, BOHOL",Active
TUG,TUGUEGARAO,"GROUND FLOOR AP BLDG., BONIFACIO ST., CENTRO 1, TUGUEGARAO CITY",Active
UBY,UBAY,"POBLACION, (INFRONT PUBLIC MARKET) UBAY, BOHOL",Active
URT,URDANETA,"2ND FLOOR JACE BLDG. MC. ARTHUR HIGHWAY URDANETA CITY, PANGASINAN",Active
VLC,VALENCIA,"4017 A. AGUILAR ST. DOOR 2 CSG BLDG. POBLACION VALENCIA CITY BUKIDNON",Active
VRC,VIRAC,"UNIT 2 G/F L. ANATALIO BLDG., QUEZON ST., BRGY. SALVACION, VIRAC, CATANDUANES",Active
ZMB,ZAMBOANGA,"7BH BUILDING 2ND FLOOR NUNEZ STREET BARANGAY ZONE 3 ZAMBOANGA CITY",Active
