id,branchcode,clientcode,date,arnumber,amount,remarks,printedby,printeddatetime
53,LGY,S06172021-002511,2026-05-15,AR-2026-0044,1450,"08292025_BR_ECF_LGY AUG2025 CAR#LGY-ECF-297425 * released 08/29/25 for the month of  JAN-JULY 2025",KLabad,"05/15/2026, 07:20 PM"
52,KDP,S03032023-001886,2026-05-15,AR-2026-0043,7200,"08282025_BR_ECF_KDP AUG2025 CAR#KDP-ECF-238130 *released 08/28/25 for the month of AUGUST 2025",KLabad,"05/15/2026, 07:20 PM"
51,PGD,S11172022-007798,2026-05-15,AR-2026-0042,22692,"08282025_BR_RCF_PGD AUG2025 CAR#PGD-RCF-292475 *released 08/28/25 for the month of AUGUST",KLabad,"05/15/2026, 07:19 PM"
50,NGA,S04222015-000501,2026-05-15,AR-2026-0041,2820,"08272025_BR_ECF_NGA AUG2025 CAR#NGA-ECF-307684 * released 08/27/25 for the month of  APRIL-AUGUST 2025",KLabad,"05/15/2026, 07:18 PM"
49,LGY,512157,2026-05-15,AR-2026-0040,1100,"08262025_BR_ECF_LGY AUG2025 CAR#LGY-ECF-297416 * released 08/26/25 for the month of  AUGUST",KLabad,"05/15/2026, 07:17 PM"
48,LGO,S10052022-006796,2026-05-15,AR-2026-0039,800,"08202025_BR_ECF_LGO AUG2025 CAR#LGO-ECF-297975 *released 08/20/25 for the month of AUGUST",KLabad,"05/15/2026, 07:07 PM"
47,SJN,S07052022-004340,2026-05-15,AR-2026-0038,3300,"08202025_BR_RCF_SJN AUG2025 CAR#SJN-RCF-219333 *released 08/20/25 for the month of AUGUST",KLabad,"05/15/2026, 07:06 PM"
46,MXO,514870,2026-05-15,AR-2026-0037,9300,"08202025_BR_RCF_MXO AUG2025 CAR#MXO-RCF-286506 *released 08/20/25 for the month of JANUARY TO AUGUST 2025 CHANGE",KLabad,"05/15/2026, 07:04 PM"
45,OLG,S10182013-002211,2026-05-15,AR-2026-0036,1100,"08202025_BR_RCF_OLG AUG2025 CAR#OLG-RCF-313523 * released 08/20/25 for the month of  AUGUST",KLabad,"05/15/2026, 07:02 PM"
44,NGA,S10242023-008984,2026-05-15,AR-2026-0035,1100,"08202025_BR_RCF_NGA AUG2025 CAR#NGA-RCF-320931 * released 08/20/25 for the month of  APRIL-AUGUST 2025",KLabad,"05/15/2026, 07:01 PM"
43,BUL,512357,2026-05-15,AR-2026-0034,1200,"08202025_BR_ECF_BUL AUG2025 CAR#BUL-ECF-304459 * released 08/20/25 for the month of  AUGUST",KLabad,"05/15/2026, 07:00 PM"
42,DLP,S08022023-006413,2026-05-15,AR-2026-0033,600,"08192025_BR_ECF_DLP AUG2025 CAR#DLP CAR 300062 *released 08/19/25 for the month of JUNE TO AUG'25",KLabad,"05/15/2026, 06:59 PM"
41,ORQ,512795,2026-05-15,AR-2026-0032,1200,"08192025_BR_ECF_ORQ AUG2025 CAR#ORQ-ECF-218718 *released 08/19/25 for the month of FEB-AUG 2025",KLabad,"05/15/2026, 06:58 PM"
